"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Russia",2019-12-30,0,0,0,0,0,0,"61.52401","105.318756"
"Russia",2019-12-31,0,0,0,0,0,0,"61.52401","105.318756"
"Russia",2020-01-01,0,0,0,0,0,0,"61.52401","105.318756"
"Russia",2020-01-02,0,0,0,0,0,0,"61.52401","105.318756"
"Russia",2020-01-03,1,1,1,0,0,0,"61.52401","105.318756"
"Russia",2020-01-04,1,1,1,0,0,0,"61.52401","105.318756"
"Russia",2020-01-05,1,1,1,0,0,0,"61.52401","105.318756"
"Russia",2020-01-06,1,1,1,0,0,0,"61.52401","105.318756"
"Russia",2020-01-07,1,1,1,0,0,0,"61.52401","105.318756"
"Russia",2020-01-08,1,1,1,0,0,0,"61.52401","105.318756"
"Russia",2020-01-09,1,1,1,0,0,0,"61.52401","105.318756"
"Russia",2020-01-10,1,1,1,0,0,0,"61.52401","105.318756"
"Russia",2020-01-11,1,1,1,0,0,0,"61.52401","105.318756"
"Russia",2020-01-12,1,1,1,0,0,0,"61.52401","105.318756"
"Russia",2020-01-13,2,2,2,0,0,0,"61.52401","105.318756"
"Russia",2020-01-14,2,2,2,0,0,0,"61.52401","105.318756"
"Russia",2020-01-15,2,2,2,0,0,0,"61.52401","105.318756"
"Russia",2020-01-16,2,2,2,0,0,0,"61.52401","105.318756"
"Russia",2020-01-17,2,2,2,0,0,0,"61.52401","105.318756"
"Russia",2020-01-18,3,3,3,0,0,0,"61.52401","105.318756"
"Russia",2020-01-19,3,3,3,0,0,0,"61.52401","105.318756"
"Russia",2020-01-20,3,3,3,0,0,0,"61.52401","105.318756"
"Russia",2020-01-21,4,4,4,0,0,0,"61.52401","105.318756"
"Russia",2020-01-22,4,4,4,0,0,0,"61.52401","105.318756"
"Russia",2020-01-23,5,5,5,0,0,0,"61.52401","105.318756"
"Russia",2020-01-24,5,5,5,0,0,0,"61.52401","105.318756"
"Russia",2020-01-25,6,6,6,0,0,0,"61.52401","105.318756"
"Russia",2020-01-26,6,6,6,0,0,0,"61.52401","105.318756"
"Russia",2020-01-27,7,7,7,0,0,0,"61.52401","105.318756"
"Russia",2020-01-28,8,8,8,0,0,0,"61.52401","105.318756"
"Russia",2020-01-29,9,9,9,0,0,0,"61.52401","105.318756"
"Russia",2020-01-30,10,10,10,0,0,0,"61.52401","105.318756"
"Russia",2020-01-31,11,11,11,0,2,0,"61.52401","105.318756"
"Russia",2020-02-01,11,12,13,0,2,0,"61.52401","105.318756"
"Russia",2020-02-02,12,13,14,0,2,0,"61.52401","105.318756"
"Russia",2020-02-03,14,15,16,0,2,0,"61.52401","105.318756"
"Russia",2020-02-04,15,16,17,0,2,0,"61.52401","105.318756"
"Russia",2020-02-05,17,18,19,0,2,0,"61.52401","105.318756"
