"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Portugal",2019-12-30,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2019-12-31,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-01,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-02,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-03,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-04,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-05,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-06,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-07,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-08,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-09,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-10,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-11,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-12,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-13,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-14,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-15,0,0,0,0,0,NA,"39.399872","0"
"Portugal",2020-01-16,1,1,1,0,0,NA,"39.399872","0"
"Portugal",2020-01-17,1,1,1,0,0,NA,"39.399872","0"
"Portugal",2020-01-18,1,1,1,0,0,NA,"39.399872","0"
"Portugal",2020-01-19,1,1,1,0,0,NA,"39.399872","0"
"Portugal",2020-01-20,1,1,1,0,0,NA,"39.399872","0"
"Portugal",2020-01-21,1,1,1,0,0,NA,"39.399872","0"
"Portugal",2020-01-22,1,1,1,0,0,NA,"39.399872","0"
"Portugal",2020-01-23,1,1,1,0,0,NA,"39.399872","0"
"Portugal",2020-01-24,2,2,2,0,0,NA,"39.399872","0"
"Portugal",2020-01-25,2,2,2,0,0,NA,"39.399872","0"
"Portugal",2020-01-26,2,2,2,0,0,NA,"39.399872","0"
"Portugal",2020-01-27,2,2,2,0,0,NA,"39.399872","0"
"Portugal",2020-01-28,3,3,3,0,0,NA,"39.399872","0"
"Portugal",2020-01-29,3,3,3,0,0,NA,"39.399872","0"
"Portugal",2020-01-30,3,3,3,0,0,NA,"39.399872","0"
"Portugal",2020-01-31,4,4,4,0,0,NA,"39.399872","0"
"Portugal",2020-02-01,4,4,4,0,0,NA,"39.399872","0"
"Portugal",2020-02-02,5,5,5,0,0,NA,"39.399872","0"
"Portugal",2020-02-03,6,6,6,0,0,NA,"39.399872","0"
"Portugal",2020-02-04,6,7,8,0,0,NA,"39.399872","0"
"Portugal",2020-02-05,6,7,8,0,0,NA,"39.399872","0"
"Portugal",2020-02-06,7,8,9,0,0,NA,"39.399872","0"
"Portugal",2020-02-07,9,10,11,0,0,NA,"39.399872","0"
"Portugal",2020-02-08,10,11,12,0,0,NA,"39.399872","0"
"Portugal",2020-02-09,11,12,13,0,0,NA,"39.399872","0"
"Portugal",2020-02-10,13,14,15,1,0,NA,"39.399872","0"
"Portugal",2020-02-11,15,16,17,1,0,NA,"39.399872","0"
"Portugal",2020-02-12,17,18,19,1,0,NA,"39.399872","0"
"Portugal",2020-02-13,19,21,23,1,0,NA,"39.399872","0"
"Portugal",2020-02-14,22,24,26,1,0,NA,"39.399872","0"
"Portugal",2020-02-15,25,27,29,1,0,NA,"39.399872","0"
"Portugal",2020-02-16,29,31,33,1,0,NA,"39.399872","0"
"Portugal",2020-02-17,32,35,38,1,0,NA,"39.399872","0"
"Portugal",2020-02-18,37,40,43,2,0,NA,"39.399872","0"
"Portugal",2020-02-19,42,45,48,2,0,NA,"39.399872","0"
"Portugal",2020-02-20,47,51,55,2,0,NA,"39.399872","0"
"Portugal",2020-02-21,54,58,62,2,0,NA,"39.399872","0"
"Portugal",2020-02-22,61,66,71,3,0,NA,"39.399872","0"
"Portugal",2020-02-23,70,76,82,3,0,NA,"39.399872","0"
"Portugal",2020-02-24,79,86,93,4,0,NA,"39.399872","0"
"Portugal",2020-02-25,91,98,105,4,0,NA,"39.399872","0"
"Portugal",2020-02-26,103,111,119,5,0,NA,"39.399872","0"
"Portugal",2020-02-27,116,126,136,5,0,NA,"39.399872","0"
"Portugal",2020-02-28,133,144,155,6,0,NA,"39.399872","0"
"Portugal",2020-02-29,151,163,175,7,0,NA,"39.399872","0"
"Portugal",2020-03-01,172,186,200,8,0,0,"39.399872","0"
"Portugal",2020-03-02,195,211,227,9,2,0,"39.399872","0"
"Portugal",2020-03-03,222,240,258,10,4,0,"39.399872","0"
"Portugal",2020-03-04,252,273,294,11,5,0,"39.399872","0"
"Portugal",2020-03-05,287,310,333,13,9,0,"39.399872","0"
"Portugal",2020-03-06,325,352,379,14,13,0,"39.399872","0"
"Portugal",2020-03-07,370,400,430,16,21,0,"39.399872","0"
"Portugal",2020-03-08,420,454,488,19,30,0,"39.399872","0"
"Portugal",2020-03-09,476,515,554,21,39,0,"39.399872","0"
"Portugal",2020-03-10,540,584,628,24,41,0,"39.399872","0"
"Portugal",2020-03-11,613,663,713,27,59,0,"39.399872","0"
