"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Georgia",2019-12-30,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2019-12-31,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-01,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-02,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-03,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-04,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-05,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-06,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-07,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-08,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-09,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-10,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-11,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-12,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-13,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-14,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-15,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-16,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-17,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-18,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-19,0,0,0,0,0,0,"32.1656221","0"
"Georgia",2020-01-20,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-21,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-22,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-23,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-24,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-25,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-26,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-27,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-28,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-29,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-30,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-01-31,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-02-01,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-02-02,1,1,1,0,0,0,"32.1656221","0"
"Georgia",2020-02-03,2,2,2,0,0,0,"32.1656221","0"
"Georgia",2020-02-04,2,2,2,0,0,0,"32.1656221","0"
"Georgia",2020-02-05,2,2,2,0,0,0,"32.1656221","0"
"Georgia",2020-02-06,2,2,2,0,0,0,"32.1656221","0"
"Georgia",2020-02-07,2,2,2,0,0,0,"32.1656221","0"
"Georgia",2020-02-08,2,2,2,0,0,0,"32.1656221","0"
"Georgia",2020-02-09,3,3,3,0,0,0,"32.1656221","0"
"Georgia",2020-02-10,3,3,3,0,0,0,"32.1656221","0"
"Georgia",2020-02-11,3,3,3,0,0,0,"32.1656221","0"
"Georgia",2020-02-12,3,3,3,0,0,0,"32.1656221","0"
"Georgia",2020-02-13,4,4,4,0,0,0,"32.1656221","0"
"Georgia",2020-02-14,4,4,4,0,0,0,"32.1656221","0"
"Georgia",2020-02-15,4,4,4,0,0,0,"32.1656221","0"
"Georgia",2020-02-16,4,4,4,0,0,0,"32.1656221","0"
"Georgia",2020-02-17,5,5,5,0,0,0,"32.1656221","0"
"Georgia",2020-02-18,5,5,5,0,0,0,"32.1656221","0"
"Georgia",2020-02-19,6,6,6,0,0,0,"32.1656221","0"
"Georgia",2020-02-20,6,6,6,0,0,0,"32.1656221","0"
"Georgia",2020-02-21,7,7,7,0,0,0,"32.1656221","0"
"Georgia",2020-02-22,7,7,7,0,0,0,"32.1656221","0"
"Georgia",2020-02-23,8,8,8,0,0,0,"32.1656221","0"
"Georgia",2020-02-24,8,8,8,0,0,0,"32.1656221","0"
"Georgia",2020-02-25,8,9,10,0,0,0,"32.1656221","0"
"Georgia",2020-02-26,9,10,11,0,1,0,"32.1656221","0"
"Georgia",2020-02-27,10,11,12,0,1,0,"32.1656221","0"
"Georgia",2020-02-28,10,11,12,0,2,0,"32.1656221","0"
"Georgia",2020-02-29,11,12,13,0,3,0,"32.1656221","0"
"Georgia",2020-03-01,12,13,14,0,3,NA,"32.1656221","0"
"Georgia",2020-03-02,13,14,15,0,0,NA,"32.1656221","0"
"Georgia",2020-03-03,15,16,17,0,0,0,"32.1656221","0"
"Georgia",2020-03-04,16,17,18,0,3,0,"32.1656221","0"
"Georgia",2020-03-05,17,18,19,0,9,NA,"32.1656221","0"
"Georgia",2020-03-06,19,20,21,0,0,0,"32.1656221","0"
"Georgia",2020-03-07,20,21,22,0,12,0,"32.1656221","0"
"Georgia",2020-03-08,22,23,24,0,13,0,"32.1656221","0"
"Georgia",2020-03-09,24,25,26,0,15,0,"32.1656221","0"
