"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Ghana",2019-12-30,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2019-12-31,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-01,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-02,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-03,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-04,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-05,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-06,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-07,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-08,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-09,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-10,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-11,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-12,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-13,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-14,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-15,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-16,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-17,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-18,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-19,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-20,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-21,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-22,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-23,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-24,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-25,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-26,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-01-27,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-01-28,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-01-29,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-01-30,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-01-31,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-02-01,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-02-02,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-02-03,3,3,3,0,0,NA,"7.946527","0"
"Ghana",2020-02-04,3,3,3,0,0,NA,"7.946527","0"
"Ghana",2020-02-05,3,3,3,0,0,NA,"7.946527","0"
"Ghana",2020-02-06,3,3,3,0,0,NA,"7.946527","0"
"Ghana",2020-02-07,3,4,5,0,0,NA,"7.946527","0"
"Ghana",2020-02-08,3,4,5,0,0,NA,"7.946527","0"
"Ghana",2020-02-09,3,4,5,0,0,NA,"7.946527","0"
"Ghana",2020-02-10,4,5,6,0,0,NA,"7.946527","0"
"Ghana",2020-02-11,4,5,6,0,0,NA,"7.946527","0"
"Ghana",2020-02-12,4,5,6,0,0,NA,"7.946527","0"
"Ghana",2020-02-13,5,6,7,0,0,NA,"7.946527","0"
"Ghana",2020-02-14,5,6,7,0,0,NA,"7.946527","0"
"Ghana",2020-02-15,6,7,8,0,0,NA,"7.946527","0"
"Ghana",2020-02-16,6,7,8,0,0,NA,"7.946527","0"
"Ghana",2020-02-17,7,8,9,0,0,NA,"7.946527","0"
"Ghana",2020-02-18,7,8,9,0,0,NA,"7.946527","0"
"Ghana",2020-02-19,8,9,10,0,0,NA,"7.946527","0"
"Ghana",2020-02-20,8,10,12,0,0,NA,"7.946527","0"
"Ghana",2020-02-21,8,10,12,0,0,NA,"7.946527","0"
"Ghana",2020-02-22,9,11,13,0,0,NA,"7.946527","0"
"Ghana",2020-02-23,10,12,14,0,0,NA,"7.946527","0"
"Ghana",2020-02-24,11,13,15,0,0,NA,"7.946527","0"
"Ghana",2020-02-25,12,14,16,0,0,NA,"7.946527","0"
"Ghana",2020-02-26,13,15,17,0,0,NA,"7.946527","0"
"Ghana",2020-02-27,13,16,19,0,0,NA,"7.946527","0"
"Ghana",2020-02-28,15,18,21,0,0,NA,"7.946527","0"
"Ghana",2020-02-29,16,19,22,0,0,NA,"7.946527","0"
"Ghana",2020-03-01,18,21,24,0,0,NA,"7.946527","0"
"Ghana",2020-03-02,18,22,26,0,0,NA,"7.946527","0"
"Ghana",2020-03-03,20,24,28,0,0,NA,"7.946527","0"
"Ghana",2020-03-04,22,26,30,0,0,NA,"7.946527","0"
"Ghana",2020-03-05,23,28,33,0,0,NA,"7.946527","0"
"Ghana",2020-03-06,25,30,35,0,0,NA,"7.946527","0"
"Ghana",2020-03-07,27,32,37,0,0,NA,"7.946527","0"
"Ghana",2020-03-08,29,35,41,0,0,NA,"7.946527","0"
"Ghana",2020-03-09,32,38,44,0,0,NA,"7.946527","0"
"Ghana",2020-03-10,34,41,48,0,0,NA,"7.946527","0"
"Ghana",2020-03-11,37,44,51,0,0,0,"7.946527","0"
"Ghana",2020-03-12,39,47,55,0,2,NA,"7.946527","0"
"Ghana",2020-03-13,43,51,59,0,0,0,"7.946527","0"
"Ghana",2020-03-14,46,55,64,0,2,0,"7.946527","0"
"Ghana",2020-03-15,49,59,69,0,2,0,"7.946527","0"
"Ghana",2020-03-16,53,64,75,0,6,0,"7.946527","0"
"Ghana",2020-03-17,58,69,80,0,6,0,"7.946527","0"
"Ghana",2020-03-18,62,74,86,0,7,0,"7.946527","0"
"Ghana",2020-03-19,67,80,93,0,11,0,"7.946527","0"
"Ghana",2020-03-20,73,87,101,1,16,1,"7.946527","0"
"Ghana",2020-03-21,78,93,108,1,21,1,"7.946527","0"
"Ghana",2020-03-22,84,101,118,1,24,2,"7.946527","0"
"Ghana",2020-03-23,91,109,127,1,27,2,"7.946527","0"
