"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Chad",2019-12-30,1,2,3,0,0,NA,"15.454166","18.732207"
"Chad",2019-12-31,1,2,3,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-01,1,2,3,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-02,1,2,3,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-03,1,2,3,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-04,1,2,3,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-05,1,2,3,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-06,1,2,3,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-07,1,2,3,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-08,2,3,4,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-09,2,3,4,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-10,2,3,4,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-11,2,3,4,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-12,2,3,4,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-13,2,3,4,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-14,2,3,4,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-15,2,3,4,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-16,2,3,4,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-17,2,4,6,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-18,2,4,6,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-19,2,4,6,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-20,2,4,6,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-21,2,4,6,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-22,2,4,6,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-23,2,4,6,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-24,3,5,7,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-25,3,5,7,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-26,3,5,7,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-27,3,5,7,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-28,3,5,7,0,0,NA,"15.454166","18.732207"
"Chad",2020-01-29,3,6,9,1,0,NA,"15.454166","18.732207"
"Chad",2020-01-30,3,6,9,1,0,NA,"15.454166","18.732207"
"Chad",2020-01-31,3,6,9,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-01,3,6,9,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-02,4,7,10,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-03,4,7,10,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-04,4,7,10,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-05,4,7,10,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-06,4,8,12,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-07,4,8,12,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-08,4,8,12,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-09,5,9,13,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-10,5,9,13,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-11,5,9,13,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-12,5,10,15,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-13,5,10,15,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-14,5,10,15,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-15,6,11,16,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-16,6,11,16,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-17,6,12,18,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-18,6,12,18,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-19,7,13,19,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-20,7,13,19,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-21,7,14,21,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-22,7,14,21,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-23,8,15,22,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-24,8,15,22,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-25,8,16,24,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-26,9,17,25,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-27,9,17,25,1,0,NA,"15.454166","18.732207"
"Chad",2020-02-28,9,18,27,2,0,NA,"15.454166","18.732207"
"Chad",2020-02-29,10,19,28,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-01,10,19,28,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-02,10,20,30,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-03,11,21,31,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-04,11,22,33,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-05,12,23,34,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-06,12,24,36,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-07,12,24,36,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-08,13,25,37,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-09,13,26,39,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-10,14,27,40,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-11,15,29,43,2,0,NA,"15.454166","18.732207"
"Chad",2020-03-12,16,30,44,3,0,NA,"15.454166","18.732207"
