"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Ghana",2019-12-30,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2019-12-31,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-01,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-02,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-03,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-04,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-05,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-06,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-07,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-08,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-09,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-10,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-11,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-12,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-13,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-14,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-15,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-16,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-17,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-18,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-19,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-20,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-21,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-22,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-23,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-24,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-25,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-26,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-27,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-28,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-29,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-30,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-01-31,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-01,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-02,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-03,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-04,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-05,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-06,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-07,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-08,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-09,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-10,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-11,0,0,0,0,0,NA,"7.946527","0"
"Ghana",2020-02-12,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-02-13,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-02-14,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-02-15,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-02-16,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-02-17,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-02-18,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-02-19,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-02-20,1,1,1,0,0,NA,"7.946527","0"
"Ghana",2020-02-21,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-02-22,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-02-23,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-02-24,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-02-25,2,2,2,0,0,NA,"7.946527","0"
"Ghana",2020-02-26,2,3,4,0,0,NA,"7.946527","0"
"Ghana",2020-02-27,2,3,4,0,0,NA,"7.946527","0"
"Ghana",2020-02-28,3,4,5,0,0,NA,"7.946527","0"
"Ghana",2020-02-29,3,4,5,0,0,NA,"7.946527","0"
"Ghana",2020-03-01,3,4,5,0,0,NA,"7.946527","0"
"Ghana",2020-03-02,4,5,6,0,0,NA,"7.946527","0"
"Ghana",2020-03-03,5,6,7,0,0,NA,"7.946527","0"
"Ghana",2020-03-04,5,6,7,0,0,NA,"7.946527","0"
"Ghana",2020-03-05,6,7,8,0,0,NA,"7.946527","0"
"Ghana",2020-03-06,6,8,10,0,0,NA,"7.946527","0"
"Ghana",2020-03-07,7,9,11,0,0,NA,"7.946527","0"
"Ghana",2020-03-08,8,10,12,0,0,NA,"7.946527","0"
"Ghana",2020-03-09,9,11,13,0,0,NA,"7.946527","0"
"Ghana",2020-03-10,10,13,16,0,0,NA,"7.946527","0"
"Ghana",2020-03-11,11,14,17,0,0,0,"7.946527","0"
"Ghana",2020-03-12,13,16,19,0,2,NA,"7.946527","0"
"Ghana",2020-03-13,14,18,22,0,0,0,"7.946527","0"
"Ghana",2020-03-14,16,20,24,0,2,0,"7.946527","0"
"Ghana",2020-03-15,19,23,27,0,2,0,"7.946527","0"
"Ghana",2020-03-16,21,26,31,0,6,0,"7.946527","0"
"Ghana",2020-03-17,23,29,35,0,6,0,"7.946527","0"
"Ghana",2020-03-18,26,32,38,0,7,0,"7.946527","0"
"Ghana",2020-03-19,29,36,43,0,11,0,"7.946527","0"
"Ghana",2020-03-20,33,41,49,0,16,1,"7.946527","0"
"Ghana",2020-03-21,37,46,55,0,21,1,"7.946527","0"
"Ghana",2020-03-22,41,51,61,0,24,2,"7.946527","0"
"Ghana",2020-03-23,47,58,69,0,27,2,"7.946527","0"
