"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
170,2020-06-18,14,17,20,943
171,2020-06-19,15,18,21,991
172,2020-06-20,17,20,23,1019
173,2020-06-21,18,21,24,1059
174,2020-06-22,18,22,26,1131
175,2020-06-23,19,23,27,1186
176,2020-06-24,20,24,28,1254
177,2020-06-25,21,25,29,1295
178,2020-06-26,22,26,30,1336
179,2020-06-27,23,27,31,1336
180,2020-06-28,23,28,33,1418
181,2020-06-29,24,29,34,NA
182,2020-06-30,25,30,35,NA
183,2020-07-01,25,30,35,NA
184,2020-07-02,26,31,36,NA
185,2020-07-03,27,32,37,NA
186,2020-07-04,27,32,37,NA
187,2020-07-05,28,33,38,NA
188,2020-07-06,28,34,40,NA
189,2020-07-07,28,34,40,NA
190,2020-07-08,29,35,41,NA
