"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Pakistan",2019-12-30,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2019-12-31,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-01,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-02,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-03,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-04,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-05,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-06,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-07,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-08,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-09,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-10,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-11,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-12,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-13,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-14,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-15,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-16,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-17,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-18,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-19,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-20,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-21,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-22,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-23,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-24,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-25,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-26,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-27,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-28,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-29,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-30,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-01-31,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-01,0,0,0,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-02,1,1,1,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-03,1,1,1,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-04,1,1,1,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-05,1,1,1,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-06,1,1,1,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-07,1,1,1,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-08,1,1,1,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-09,1,1,1,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-10,2,2,2,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-11,2,2,2,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-12,2,2,2,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-13,3,3,3,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-14,3,3,3,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-15,3,3,3,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-16,3,4,5,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-17,4,5,6,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-18,4,5,6,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-19,5,6,7,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-20,6,7,8,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-21,7,8,9,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-22,9,10,11,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-23,10,11,12,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-24,11,13,15,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-25,13,15,17,0,0,0,"30.375321","69.345116"
"Pakistan",2020-02-26,15,17,19,0,2,0,"30.375321","69.345116"
"Pakistan",2020-02-27,17,20,23,0,2,0,"30.375321","69.345116"
"Pakistan",2020-02-28,20,23,26,0,2,0,"30.375321","69.345116"
"Pakistan",2020-02-29,23,27,31,0,4,0,"30.375321","69.345116"
"Pakistan",2020-03-01,27,31,35,1,4,NA,"30.375321","69.345116"
"Pakistan",2020-03-02,31,36,41,1,0,0,"30.375321","69.345116"
"Pakistan",2020-03-03,36,41,46,1,5,NA,"30.375321","69.345116"
"Pakistan",2020-03-04,42,48,54,1,0,NA,"30.375321","69.345116"
"Pakistan",2020-03-05,48,55,62,1,0,0,"30.375321","69.345116"
"Pakistan",2020-03-06,56,64,72,1,6,NA,"30.375321","69.345116"
"Pakistan",2020-03-07,64,74,84,1,0,NA,"30.375321","69.345116"
"Pakistan",2020-03-08,74,85,96,1,0,0,"30.375321","69.345116"
