"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Ecuador",2019-12-30,0,0,0,0,0,0,"0","0"
"Ecuador",2019-12-31,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-01,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-02,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-03,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-04,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-05,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-06,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-07,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-08,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-09,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-10,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-11,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-12,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-13,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-14,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-15,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-16,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-17,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-18,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-19,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-20,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-21,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-22,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-23,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-24,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-25,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-26,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-27,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-28,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-29,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-30,0,0,0,0,0,0,"0","0"
"Ecuador",2020-01-31,0,0,0,0,0,0,"0","0"
"Ecuador",2020-02-01,0,0,0,0,0,0,"0","0"
"Ecuador",2020-02-02,0,0,0,0,0,0,"0","0"
"Ecuador",2020-02-03,1,1,1,0,0,0,"0","0"
"Ecuador",2020-02-04,1,1,1,0,0,0,"0","0"
"Ecuador",2020-02-05,1,1,1,0,0,0,"0","0"
"Ecuador",2020-02-06,1,1,1,0,0,0,"0","0"
"Ecuador",2020-02-07,1,1,1,0,0,0,"0","0"
"Ecuador",2020-02-08,1,1,1,0,0,0,"0","0"
"Ecuador",2020-02-09,1,1,1,0,0,0,"0","0"
"Ecuador",2020-02-10,1,1,1,0,0,0,"0","0"
"Ecuador",2020-02-11,2,2,2,0,0,0,"0","0"
"Ecuador",2020-02-12,2,2,2,0,0,0,"0","0"
"Ecuador",2020-02-13,2,2,2,0,0,0,"0","0"
"Ecuador",2020-02-14,2,3,4,0,0,0,"0","0"
"Ecuador",2020-02-15,2,3,4,0,0,0,"0","0"
"Ecuador",2020-02-16,3,4,5,0,0,0,"0","0"
"Ecuador",2020-02-17,3,4,5,0,0,0,"0","0"
"Ecuador",2020-02-18,4,5,6,0,0,0,"0","0"
"Ecuador",2020-02-19,5,6,7,0,0,0,"0","0"
"Ecuador",2020-02-20,6,7,8,0,0,0,"0","0"
"Ecuador",2020-02-21,7,8,9,0,0,0,"0","0"
"Ecuador",2020-02-22,7,9,11,0,0,0,"0","0"
"Ecuador",2020-02-23,9,11,13,1,0,0,"0","0"
"Ecuador",2020-02-24,10,12,14,1,0,0,"0","0"
"Ecuador",2020-02-25,11,14,17,1,0,0,"0","0"
"Ecuador",2020-02-26,14,17,20,1,0,0,"0","0"
"Ecuador",2020-02-27,15,19,23,1,0,0,"0","0"
"Ecuador",2020-02-28,18,22,26,1,0,0,"0","0"
"Ecuador",2020-02-29,21,26,31,1,1,0,"0","0"
"Ecuador",2020-03-01,24,30,36,2,6,0,"0","0"
"Ecuador",2020-03-02,28,35,42,2,7,NA,"0","0"
"Ecuador",2020-03-03,33,41,49,2,0,0,"0","0"
"Ecuador",2020-03-04,39,48,57,2,10,0,"0","0"
"Ecuador",2020-03-05,45,55,65,3,13,NA,"0","0"
"Ecuador",2020-03-06,52,64,76,3,0,NA,"0","0"
"Ecuador",2020-03-07,61,75,89,4,0,0,"0","0"
"Ecuador",2020-03-08,71,87,103,4,14,0,"0","0"
