"dia_ano","dias","otimista","casos_estimados","pessimista","x"
159,2020-06-07,198,217,236,214
160,2020-06-08,209,229,249,214
161,2020-06-09,220,241,262,236
162,2020-06-10,232,254,276,256
163,2020-06-11,245,268,291,274
164,2020-06-12,258,282,306,282
165,2020-06-13,272,297,322,293
166,2020-06-14,286,313,340,304
167,2020-06-15,302,330,358,319
168,2020-06-16,318,348,378,348
169,2020-06-17,335,366,397,365
170,2020-06-18,353,386,419,NA
171,2020-06-19,371,406,441,NA
172,2020-06-20,391,428,465,NA
173,2020-06-21,412,451,490,NA
174,2020-06-22,434,475,516,NA
175,2020-06-23,457,500,543,NA
176,2020-06-24,482,527,572,NA
177,2020-06-25,508,555,602,NA
178,2020-06-26,535,585,635,NA
179,2020-06-27,563,616,669,NA
