"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude","region"
"Belgium","2019-12-30",270,453,636,74,0,0,50.503887,4.469936,"Europe"
"Belgium","2019-12-31",280,470,660,77,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-01",291,488,685,79,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-02",302,507,712,83,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-03",314,526,738,86,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-04",325,546,767,89,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-05",338,567,796,92,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-06",351,589,827,96,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-07",364,611,858,100,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-08",378,635,892,103,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-09",393,659,925,107,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-10",408,684,960,111,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-11",424,711,998,116,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-12",440,738,1036,120,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-13",457,766,1075,125,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-14",474,796,1118,130,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-15",492,826,1160,135,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-16",511,858,1205,140,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-17",531,891,1251,145,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-18",551,925,1299,151,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-19",572,960,1348,156,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-20",594,997,1400,162,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-21",617,1035,1453,169,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-22",641,1075,1509,175,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-23",665,1116,1567,182,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-24",691,1159,1627,189,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-25",717,1203,1689,196,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-26",744,1249,1754,203,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-27",773,1297,1821,211,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-28",803,1347,1891,219,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-29",834,1399,1964,228,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-30",865,1452,2039,237,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-01-31",899,1508,2117,246,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-01",933,1566,2199,255,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-02",969,1626,2283,265,0,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-03",1006,1688,2370,275,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-04",1045,1753,2461,286,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-05",1085,1820,2555,296,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-06",1127,1890,2653,308,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-07",1169,1962,2755,320,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-08",1214,2037,2860,332,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-09",1261,2115,2969,345,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-10",1310,2197,3084,358,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-11",1360,2281,3202,372,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-12",1411,2368,3325,386,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-13",1466,2459,3452,401,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-14",1522,2553,3584,416,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-15",1580,2651,3722,432,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-16",1641,2753,3865,448,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-17",1704,2858,4012,466,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-18",1769,2968,4167,483,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-19",1836,3081,4326,502,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-20",1907,3200,4493,521,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-21",1980,3322,4664,541,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-22",2056,3450,4844,562,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-23",2135,3582,5029,584,1,0,50.503887,4.469936,"Europe"
"Belgium","2020-02-24",2217,3719,5221,606,1,0,50.503887,4.469936,"Europe"
