"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Netherlands",2019-12-30,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2019-12-31,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-01,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-02,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-03,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-04,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-05,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-06,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-07,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-08,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-09,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-10,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-11,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-12,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-13,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-14,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-15,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-16,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-17,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-18,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-19,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-20,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-21,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-22,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-23,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-24,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-25,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-26,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-27,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-28,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-29,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-30,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-01-31,0,0,0,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-01,1,1,1,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-02,1,1,1,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-03,1,1,1,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-04,1,1,1,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-05,1,1,1,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-06,1,1,1,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-07,2,2,2,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-08,2,2,2,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-09,2,2,2,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-10,3,3,3,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-11,3,3,3,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-12,4,4,4,0,0,0,"52.132633","5.291266"
"Netherlands",2020-02-13,5,5,5,1,0,0,"52.132633","5.291266"
"Netherlands",2020-02-14,6,6,6,1,0,0,"52.132633","5.291266"
"Netherlands",2020-02-15,7,7,7,1,0,0,"52.132633","5.291266"
"Netherlands",2020-02-16,8,8,8,1,0,0,"52.132633","5.291266"
"Netherlands",2020-02-17,9,10,11,1,0,0,"52.132633","5.291266"
"Netherlands",2020-02-18,11,12,13,1,0,0,"52.132633","5.291266"
"Netherlands",2020-02-19,13,14,15,2,0,0,"52.132633","5.291266"
"Netherlands",2020-02-20,16,17,18,2,0,0,"52.132633","5.291266"
"Netherlands",2020-02-21,20,21,22,2,0,0,"52.132633","5.291266"
"Netherlands",2020-02-22,24,25,26,3,0,0,"52.132633","5.291266"
"Netherlands",2020-02-23,28,30,32,3,0,0,"52.132633","5.291266"
"Netherlands",2020-02-24,34,36,38,4,0,0,"52.132633","5.291266"
"Netherlands",2020-02-25,41,43,45,5,0,0,"52.132633","5.291266"
"Netherlands",2020-02-26,49,52,55,6,0,0,"52.132633","5.291266"
"Netherlands",2020-02-27,59,62,65,7,1,0,"52.132633","5.291266"
"Netherlands",2020-02-28,70,74,78,8,2,0,"52.132633","5.291266"
"Netherlands",2020-02-29,84,89,94,10,7,0,"52.132633","5.291266"
"Netherlands",2020-03-01,101,107,113,12,13,0,"52.132633","5.291266"
"Netherlands",2020-03-02,121,128,135,14,18,0,"52.132633","5.291266"
"Netherlands",2020-03-03,146,154,162,17,28,0,"52.132633","5.291266"
"Netherlands",2020-03-04,174,184,194,20,38,0,"52.132633","5.291266"
"Netherlands",2020-03-05,209,221,233,24,82,1,"52.132633","5.291266"
"Netherlands",2020-03-06,250,264,278,29,128,1,"52.132633","5.291266"
"Netherlands",2020-03-07,300,317,334,35,188,3,"52.132633","5.291266"
"Netherlands",2020-03-08,359,379,399,42,265,3,"52.132633","5.291266"
"Netherlands",2020-03-09,430,454,478,50,321,4,"52.132633","5.291266"
"Netherlands",2020-03-10,514,543,572,60,382,5,"52.132633","5.291266"
"Netherlands",2020-03-11,615,649,683,71,503,5,"52.132633","5.291266"
"Netherlands",2020-03-12,734,775,816,85,614,5,"52.132633","5.291266"
"Netherlands",2020-03-13,875,924,973,102,804,12,"52.132633","5.291266"
