"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Bolivia",2019-12-30,0,0,0,0,0,NA,"0","0"
"Bolivia",2019-12-31,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-01,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-02,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-03,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-04,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-05,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-06,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-07,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-08,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-09,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-10,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-11,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-12,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-13,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-14,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-15,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-16,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-17,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-18,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-19,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-20,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-21,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-22,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-23,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-24,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-25,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-26,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-27,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-28,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-29,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-30,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-31,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-01,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-02,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-03,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-04,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-05,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-06,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-07,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-08,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-09,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-10,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-11,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-12,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-13,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-14,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-15,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-16,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-17,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-18,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-19,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-20,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-21,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-22,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-23,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-24,1,2,3,0,0,NA,"0","0"
"Bolivia",2020-02-25,1,2,3,0,0,NA,"0","0"
"Bolivia",2020-02-26,1,2,3,0,0,NA,"0","0"
"Bolivia",2020-02-27,1,2,3,0,0,NA,"0","0"
"Bolivia",2020-02-28,1,2,3,0,0,NA,"0","0"
"Bolivia",2020-02-29,2,3,4,0,0,NA,"0","0"
"Bolivia",2020-03-01,2,3,4,0,0,NA,"0","0"
"Bolivia",2020-03-02,2,3,4,0,0,NA,"0","0"
"Bolivia",2020-03-03,3,4,5,0,0,NA,"0","0"
"Bolivia",2020-03-04,3,4,5,0,0,NA,"0","0"
"Bolivia",2020-03-05,3,5,7,0,0,NA,"0","0"
"Bolivia",2020-03-06,3,5,7,0,0,NA,"0","0"
"Bolivia",2020-03-07,4,6,8,0,0,NA,"0","0"
"Bolivia",2020-03-08,5,7,9,1,0,NA,"0","0"
"Bolivia",2020-03-09,5,8,11,1,0,NA,"0","0"
"Bolivia",2020-03-10,6,9,12,1,0,0,"0","0"
"Bolivia",2020-03-11,7,10,13,1,2,0,"0","0"
"Bolivia",2020-03-12,7,11,15,1,3,0,"0","0"
"Bolivia",2020-03-13,8,12,16,1,10,0,"0","0"
"Bolivia",2020-03-14,9,14,19,1,10,NA,"0","0"
"Bolivia",2020-03-15,11,16,21,1,0,0,"0","0"
"Bolivia",2020-03-16,11,17,23,1,11,0,"0","0"
"Bolivia",2020-03-17,13,20,27,1,12,0,"0","0"
"Bolivia",2020-03-18,15,22,29,2,12,0,"0","0"
"Bolivia",2020-03-19,17,25,33,2,15,0,"0","0"
"Bolivia",2020-03-20,19,28,37,2,19,0,"0","0"
"Bolivia",2020-03-21,21,31,41,2,20,0,"0","0"
"Bolivia",2020-03-22,23,35,47,3,27,0,"0","0"
"Bolivia",2020-03-23,26,39,52,3,28,0,"0","0"
"Bolivia",2020-03-24,29,44,59,3,32,0,"0","0"
"Bolivia",2020-03-25,33,49,65,4,39,0,"0","0"
"Bolivia",2020-03-26,37,55,73,4,61,0,"0","0"
"Bolivia",2020-03-27,41,62,83,4,74,0,"0","0"
"Bolivia",2020-03-28,47,70,93,5,81,3,"0","0"
"Bolivia",2020-03-29,52,78,104,6,96,6,"0","0"
"Bolivia",2020-03-30,59,88,117,6,107,7,"0","0"
"Bolivia",2020-03-31,65,98,131,7,115,8,"0","0"
"Bolivia",2020-04-01,73,110,147,8,123,9,"0","0"
