"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude","region"
"China","2020-04-21",80533,82640,84747,4616,83864,4636,35.86166,104.195397,"Asia"
"China","2020-04-22",80533,82640,84747,4616,83876,4636,35.86166,104.195397,"Asia"
"China","2020-04-23",80533,82640,84747,4616,83884,4636,35.86166,104.195397,"Asia"
"China","2020-04-24",80533,82640,84747,4616,83899,4636,35.86166,104.195397,"Asia"
"China","2020-04-25",80533,82640,84747,4616,83909,4637,35.86166,104.195397,"Asia"
"China","2020-04-26",80533,82640,84747,4616,83912,4637,35.86166,104.195397,"Asia"
"China","2020-04-27",80533,82640,84747,4616,83938,4637,35.86166,104.195397,"Asia"
"China","2020-04-28",80533,82640,84747,4616,83940,4637,35.86166,104.195397,"Asia"
"China","2020-04-29",80533,82640,84747,4616,83944,4637,35.86166,104.195397,"Asia"
"China","2020-04-30",80533,82640,84747,4616,83956,4637,35.86166,104.195397,"Asia"
"China","2020-05-01",80533,82640,84747,4616,83959,4637,35.86166,104.195397,"Asia"
"China","2020-05-02",80533,82640,84747,4616,83961,4637,35.86166,104.195397,"Asia"
"China","2020-05-03",80533,82640,84747,4616,83964,4637,35.86166,104.195397,"Asia"
"China","2020-05-04",80533,82640,84747,4616,83966,4637,35.86166,104.195397,"Asia"
"China","2020-05-05",80533,82640,84747,4616,83968,4637,35.86166,104.195397,"Asia"
"China","2020-05-06",80533,82640,84747,4616,83970,4637,35.86166,104.195397,"Asia"
"China","2020-05-07",80533,82640,84747,4616,83976,4637,35.86166,104.195397,"Asia"
"China","2020-05-08",80533,82640,84747,4616,83976,4637,35.86166,104.195397,"Asia"
"China","2020-05-09",80533,82640,84747,4616,83991,4637,35.86166,104.195397,"Asia"
"China","2020-05-10",80533,82640,84747,4616,84010,4637,35.86166,104.195397,"Asia"
"China","2020-05-11",80533,82640,84747,4616,84011,4637,35.86166,104.195397,"Asia"
"China","2020-05-12",80533,82640,84747,4616,84018,4637,35.86166,104.195397,"Asia"
"China","2020-05-13",80533,82640,84747,4616,84024,4637,35.86166,104.195397,"Asia"
"China","2020-05-14",80533,82640,84747,4616,84029,4637,35.86166,104.195397,"Asia"
"China","2020-05-15",80533,82640,84747,4616,84038,4638,35.86166,104.195397,"Asia"
"China","2020-05-16",80533,82640,84747,4616,84044,4638,35.86166,104.195397,"Asia"
"China","2020-05-17",80533,82640,84747,4616,84054,4638,35.86166,104.195397,"Asia"
"China","2020-05-18",80533,82640,84747,4616,84063,4638,35.86166,104.195397,"Asia"
"China","2020-05-19",80533,82640,84747,4616,84065,4638,35.86166,104.195397,"Asia"
"China","2020-05-20",80533,82640,84747,4616,84067,4634,35.86166,104.195397,"Asia"
"China","2020-05-21",80533,82640,84747,4616,82967,4634,35.86166,104.195397,"Asia"
"China","2020-05-22",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-05-23",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-05-24",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-05-25",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-05-26",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-05-27",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-05-28",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-05-29",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-05-30",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-05-31",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-06-01",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-06-02",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-06-03",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-06-04",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"China","2020-06-05",80533,82640,84747,4616,NA,NA,35.86166,104.195397,"Asia"
"France","2020-04-21",109610,121246,132882,18785,117324,21340,46.227638,2.213749,"Europe"
"France","2020-04-22",111399,123224,135049,19091,119151,21856,46.227638,2.213749,"Europe"
"France","2020-04-23",113037,125036,137035,19372,120804,22245,46.227638,2.213749,"Europe"
"France","2020-04-24",114533,126691,138849,19629,122577,22614,46.227638,2.213749,"Europe"
"France","2020-04-25",115895,128198,140501,19862,124114,22856,46.227638,2.213749,"Europe"
"France","2020-04-26",117133,129567,142001,20074,124575,23293,46.227638,2.213749,"Europe"
"France","2020-04-27",118254,130807,143360,20266,125770,23660,46.227638,2.213749,"Europe"
"France","2020-04-28",119269,131930,144591,20440,126835,24087,46.227638,2.213749,"Europe"
"France","2020-04-29",120185,132943,145701,20597,128442,24376,46.227638,2.213749,"Europe"
"France","2020-04-30",121010,133856,146702,20739,129581,24594,46.227638,2.213749,"Europe"
"France","2020-05-01",121753,134677,147601,20866,130185,24760,46.227638,2.213749,"Europe"
"France","2020-05-02",122421,135416,148411,20980,130979,24895,46.227638,2.213749,"Europe"
"France","2020-05-03",123019,136078,149137,21083,131287,25201,46.227638,2.213749,"Europe"
"France","2020-05-04",123556,136672,149788,21175,131863,25531,46.227638,2.213749,"Europe"
"France","2020-05-05",124037,137204,150371,21257,132967,25809,46.227638,2.213749,"Europe"
"France","2020-05-06",124467,137680,150893,21331,137150,25987,46.227638,2.213749,"Europe"
"France","2020-05-07",124852,138106,151360,21397,137779,26230,46.227638,2.213749,"Europe"
"France","2020-05-08",125196,138486,151776,21456,138421,26310,46.227638,2.213749,"Europe"
"France","2020-05-09",125503,138826,152149,21509,138854,26380,46.227638,2.213749,"Europe"
"France","2020-05-10",125776,139128,152480,21556,139063,26643,46.227638,2.213749,"Europe"
"France","2020-05-11",126021,139399,152777,21598,139519,26991,46.227638,2.213749,"Europe"
"France","2020-05-12",126239,139640,153041,21635,140227,27074,46.227638,2.213749,"Europe"
"France","2020-05-13",126433,139854,153275,21668,140734,27425,46.227638,2.213749,"Europe"
"France","2020-05-14",126606,140046,153486,21698,141356,27555,46.227638,2.213749,"Europe"
"France","2020-05-15",126760,140216,153672,21724,141919,27643,46.227638,2.213749,"Europe"
"France","2020-05-16",126896,140367,153838,21748,142291,27711,46.227638,2.213749,"Europe"
