"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Afghanistan",2019-12-30,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2019-12-31,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-01,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-02,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-03,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-04,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-05,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-06,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-07,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-08,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-09,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-10,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-11,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-12,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-13,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-14,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-15,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-16,0,0,0,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-17,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-18,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-19,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-20,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-21,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-22,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-23,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-24,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-25,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-26,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-27,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-28,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-29,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-30,1,1,1,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-01-31,2,2,2,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-01,2,2,2,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-02,2,2,2,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-03,2,2,2,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-04,2,2,2,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-05,2,2,2,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-06,3,3,3,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-07,3,3,3,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-08,3,3,3,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-09,3,3,3,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-10,4,4,4,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-11,4,4,4,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-12,4,4,4,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-13,5,5,5,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-14,5,5,5,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-15,5,5,5,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-16,6,6,6,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-17,6,6,6,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-18,6,7,8,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-19,6,7,8,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-20,7,8,9,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-21,8,9,10,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-22,9,10,11,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-23,9,10,11,0,0,0,"33.93911","67.709953"
"Afghanistan",2020-02-24,10,11,12,0,1,0,"33.93911","67.709953"
"Afghanistan",2020-02-25,11,12,13,0,1,0,"33.93911","67.709953"
"Afghanistan",2020-02-26,12,13,14,0,1,0,"33.93911","67.709953"
"Afghanistan",2020-02-27,13,14,15,0,1,0,"33.93911","67.709953"
"Afghanistan",2020-02-28,14,15,16,0,1,0,"33.93911","67.709953"
"Afghanistan",2020-02-29,16,17,18,0,1,0,"33.93911","67.709953"
"Afghanistan",2020-03-01,17,18,19,0,1,NA,"33.93911","67.709953"
